,PCA,Neighbors,Weights,P Integer,Mean CV Score,STD CV Score,Execution Time
158,22,75,distance,1,0.7610416134797039,0.4264472722763189,229.8950002193451
159,9,143,uniform,2,0.7528720959918305,0.43134174742157577,133.43499851226807
160,22,35,distance,2,0.7748276742404901,0.4176957618549212,235.36900424957275
161,18,75,distance,1,0.7630839928516722,0.425190325272367,199.75599718093872
162,3,69,distance,1,0.6632627010467195,0.4725942133024161,86.30999994277954
163,14,127,distance,1,0.7582333418432474,0.4281536420030414,169.4500026702881
164,1,21,uniform,2,0.5560377840183814,0.4968498432749167,76.6279993057251
165,18,153,uniform,1,0.7421496042889967,0.437451219157842,204.89799523353577
166,22,155,distance,2,0.7531273934133266,0.43119197894183403,234.3620045185089
167,19,35,distance,2,0.7750829716619863,0.41752767417455205,207.61800336837769
168,20,187,distance,2,0.7508297166198621,0.43253260369641466,221.51700067520142
169,23,101,distance,1,0.7569568547357671,0.42892094237085443,238.21399426460266
170,15,11,distance,1,0.7697217258105693,0.42101091509100813,176.69300079345703
171,14,107,uniform,2,0.7541485830993107,0.43059087044271244,171.33300065994263
172,17,197,distance,2,0.7503191217768701,0.43282829999071976,197.467999458313
173,13,55,uniform,2,0.7720194026040337,0.4195300282541699,164.38299655914307
174,7,157,uniform,1,0.7523615011488384,0.4316406754905112,116.84906792640686
175,21,31,distance,1,0.7730405922900179,0.4188661301202524,224.5190703868866
176,22,185,distance,2,0.7490426346693898,0.4335640277017096,232.60707449913025
177,None,101,uniform,2,0.7551697727852948,0.4299864963655266,256.10006642341614
178,23,53,uniform,1,0.7600204237937197,0.427070695798874,244.39006638526917
179,11,111,distance,1,0.7623181005871841,0.42566326374768587,146.48606634140015
180,9,183,distance,2,0.7556803676282869,0.4296830804319203,135.61306953430176
181,5,143,uniform,1,0.7582333418432474,0.4281536420030414,101.0480728149414
182,3,195,distance,1,0.6650497829971918,0.47197305975296927,89.44507050514221
183,22,153,distance,2,0.7531273934133266,0.431191978941834,232.4250705242157
184,None,97,distance,2,0.7669134541741128,0.4227968873831071,253.06106901168823
185,1,7,distance,1,0.47893796272657646,0.49955619362179154,76.76407146453857
186,4,181,uniform,1,0.7612969109011999,0.42629089170833845,94.58307385444641
187,10,43,distance,1,0.7801889200919071,0.4141185446918925,139.69007396697998
188,16,177,uniform,1,0.7406178197600204,0.4382956363163274,185.1080732345581
189,19,163,uniform,2,0.7416390094460046,0.4377334681218169,207.99407124519348
190,11,99,uniform,2,0.7572121521572632,0.42876789616601296,149.21507453918457
191,19,147,uniform,1,0.7431707939749809,0.4368843839708366,211.733074426651
192,5,67,distance,1,0.7773806484554506,0.41600477865336316,101.4980685710907
193,9,173,uniform,1,0.7508297166198621,0.43253260369641466,131.74007487297058
194,13,109,uniform,2,0.7544038805208068,0.4304400836074111,163.15006732940674
195,19,19,uniform,2,0.7732958897115139,0.418699601942481,206.41259336471558
196,11,39,uniform,1,0.7784018381414348,0.4153220636078348,146.7546010017395
197,1,57,distance,1,0.5008935409752362,0.49999920158388816,77.82560110092163
198,11,83,uniform,2,0.7623181005871841,0.42566326374768587,148.28260016441345
199,16,121,uniform,2,0.7490426346693898,0.4335640277017096,188.96659779548645
200,19,63,uniform,2,0.7661475619096247,0.42327942932484025,209.51159834861755
201,13,41,uniform,2,0.774317079397498,0.41803126671437724,162.81459641456604
202,7,63,uniform,1,0.7704876180750574,0.42051926051975536,117.75760078430176
203,9,37,distance,1,0.7784018381414348,0.4153220636078348,132.39959383010864
204,10,187,distance,2,0.7546591779423028,0.4302890924596516,140.50459623336792
205,14,57,distance,1,0.7720194026040337,0.41953002825416985,168.31559348106384
206,15,65,uniform,2,0.7676793464386009,0.4223124050868071,176.98559713363647
207,5,45,uniform,2,0.7725299974470258,0.41919852157602383,101.52252459526062
208,6,139,distance,1,0.767934643860097,0.42215047864424243,111.22859644889832
209,4,173,distance,2,0.7720194026040337,0.4195300282541699,95.8965265750885
210,14,99,uniform,1,0.755425070206791,0.42983489098705785,169.42560029029846
211,13,69,distance,2,0.7684452387030891,0.42182597575023945,162.64959692955017
212,13,89,uniform,1,0.7572121521572632,0.428767896166013,163.12759566307068
213,22,195,uniform,1,0.73806484554506,0.43968753600210997,229.4905924797058
214,1,67,distance,1,0.5014041358182282,0.4999980283987167,76.60652804374695
215,20,189,uniform,2,0.7355118713300995,0.44106026624781636,213.61159372329712
216,6,103,uniform,1,0.7648710748021444,0.42407937197316825,108.5575258731842
217,16,169,uniform,2,0.7424049017104927,0.43730980280200255,189.91059684753418
218,10,25,uniform,2,0.7789124329844268,0.41497934253009217,139.0555980205536
219,4,183,distance,1,0.7732958897115139,0.418699601942481,95.85952496528625
220,5,93,distance,2,0.7758488639264743,0.4170220668867218,102.51052927970886
221,13,93,uniform,2,0.7584886392647434,0.427999560012696,162.62459588050842
222,None,133,uniform,1,0.756446259892775,0.4292264155279907,249.484601020813
223,4,79,distance,1,0.779933622670411,0.4142911619846844,95.4745237827301
224,8,1,uniform,1,0.7222364054123054,0.4478961711260964,123.34052681922913
225,6,143,uniform,1,0.7592545315292315,0.4275360661763621,109.34053087234497
226,21,169,distance,2,0.7541485830993107,0.43059087044271244,224.02360033988953
227,19,53,distance,1,0.7656369670666326,0.42360004925358624,205.54759645462036
228,3,53,distance,1,0.6594332397242788,0.473899822822314,88.53400015830994
