,PCA,Max iter,Alpha,Power t,Layers,Solver,Learning Rate,Learning Rate Init,Mean CV Score,STD CV Score,Execution Time
59,6,6000,0.0005,0.5,"(21,)",sgd,adaptive,0.005,0.7878407876560586,0.012345147589432413,49.67200303077698
60,11,6000,0.001,0.5,"(3,)",sgd,adaptive,0.0001,0.7237658664998567,0.01988704254980951,296.7230005264282
61,23,5000,0.001,0.5,"(9,)",sgd,adaptive,0.001,0.7712484035759897,0.010049611105656235,51.133002281188965
62,11,5000,0.0005,0.5,"(6,)",adam,constant,0.0005,0.7812042249850132,0.014404728952958846,327.1799969673157
63,7,5000,0.0001,0.5,"(21,)",sgd,adaptive,0.005,0.7914141710323976,0.015306795533955276,56.068002223968506
64,23,5000,5e-05,0.5,"(21,)",sgd,constant,0.001,0.7845225063205359,0.011799541000947614,67.0190052986145
65,21,5000,5e-05,0.5,"(9,)",sgd,constant,0.0005,0.7720169677066229,0.004440834697217289,288.18200397491455
66,4,5000,0.001,0.5,"(18,)",sgd,adaptive,0.001,0.7755854640706857,0.014858176967697551,348.5859966278076
67,6,5000,0.001,0.5,"(15,)",sgd,constant,0.001,0.7776298642062189,0.010321183906501297,312.30600094795227
68,2,6000,0.0005,0.5,"(12,)",sgd,invscaling,0.0005,0.3522692027002372,0.14932232832227646,29.33299708366394
69,3,5000,0.001,0.5,"(27,)",sgd,adaptive,0.005,0.6665738134334194,0.016996303201254438,278.7209994792938
70,18,6000,5e-05,0.5,"(6,)",sgd,adaptive,0.005,0.7952459144577372,0.010953051308859355,336.228000164032
71,14,5000,0.001,0.5,"(15,)",sgd,adaptive,0.005,0.8003486068757004,0.014859765598729997,77.64999723434448
72,8,6000,1e-05,0.5,"(12,)",sgd,adaptive,0.0001,0.7577169181848985,0.009675802361916511,95.37099599838257
73,9,6000,0.0005,0.5,"(15,)",sgd,invscaling,0.005,0.5465970104516902,0.013457977475097388,381.83899664878845
74,4,5000,0.0005,0.5,"(6,)",sgd,adaptive,0.005,0.7845212031172621,0.01496265538853805,296.37399911880493
75,10,5000,5e-05,0.5,"(18,)",sgd,adaptive,0.0001,0.758740584356348,0.005732621965522917,101.41899681091309
76,20,6000,5e-05,0.5,"(3,)",sgd,constant,0.005,0.7676720879922849,0.013411836951601619,267.1179995536804
77,21,6000,1e-05,0.5,"(15,)",sgd,constant,0.001,0.7865649516511585,0.012877671018722522,410.54399704933167
78,2,6000,0.0001,0.5,"(24,)",sgd,constant,0.01,0.6298176167018531,0.013251107431780554,416.2329967021942
79,11,5000,0.001,0.5,"(27,)",sgd,adaptive,0.005,0.7995842781557068,0.013298300832369254,100.382000207901
80,13,200,0.0001,0.5,"(3,)",sgd,constant,0.001,0.7416389735971016,0.014034459408855858,108.0479953289032
81,17,6000,1e-05,0.5,"(21,)",sgd,adaptive,0.0005,0.7789053744103006,0.01245732941452576,66.33999943733215
82,11,5000,0.0001,0.5,"(24,)",sgd,adaptive,0.001,0.7873273255662417,0.017792674504117985,446.053995847702
83,7,6000,0.0001,0.5,"(24,)",sgd,adaptive,0.0005,0.7727790158208877,0.012252427274348608,313.5399992465973
84,7,6000,0.0001,0.5,"(12,)",sgd,adaptive,0.0005,0.7755861156723225,0.012926043472472034,53.83799862861633
85,4,5000,0.0005,0.5,"(9,)",adam,constant,0.005,0.7852900930487138,0.01140185726514048,18.460999250411987
86,5,5000,0.001,0.5,"(15,)",adam,constant,0.005,0.7903953918732244,0.011965154069350978,18.39500069618225
87,15,5000,0.001,0.5,"(21,)",sgd,invscaling,0.0005,0.3540702296244168,0.08776568392992931,7.688998699188232
88,19,6000,1e-05,0.5,"(12,)",sgd,constant,0.0001,0.7551655719759169,0.013233008891348352,93.30899834632874
89,23,5000,0.0001,0.5,"(12,)",sgd,invscaling,0.001,0.2954319467250502,0.144280018053212,21.130999088287354
90,9,6000,0.0005,0.5,"(27,)",adam,constant,0.0001,0.7942222482862877,0.015197809034484868,447.1819956302643
91,19,6000,0.001,0.5,"(12,)",adam,constant,0.001,0.7929457606797509,0.014174873901231053,480.17899656295776
92,4,5000,0.0005,0.5,"(15,)",sgd,adaptive,0.0005,0.7717573044543489,0.011809996212815152,367.1210000514984
93,2,5000,0.0001,0.5,"(6,)",sgd,constant,0.001,0.5764618682722131,0.01356085018284088,138.406001329422
94,15,6000,0.0001,0.5,"(9,)",sgd,adaptive,0.0005,0.7694620376886386,0.01020229453356837,274.5749990940094
95,4,5000,0.0001,0.5,"(6,)",adam,constant,0.001,0.7829922198764564,0.00914325341061693,34.724000215530396
96,1,6000,0.0001,0.5,"(12,)",sgd,adaptive,0.0001,0.5685484921938124,0.0077212819887799615,38.73500156402588
97,13,5000,5e-05,0.5,"(27,)",adam,constant,0.01,0.7860537701670707,0.011645360421383618,23.0930016040802
98,18,5000,1e-05,0.5,"(12,)",sgd,invscaling,0.01,0.5772235905856596,0.05086862081007205,186.61400032043457
99,18,5000,1e-05,0.5,"(12,)",adam,constant,0.005,0.7944783277295593,0.015824168120955395,173.80300092697144
100,22,5000,1e-05,0.5,"(6,)",sgd,constant,0.01,0.7983081163499882,0.015238588378894443,307.5399978160858
101,18,6000,1e-05,0.5,"(6,)",adam,constant,0.0001,0.768693799358824,0.011333573490721723,246.76399636268616
102,5,6000,0.0001,0.5,"(3,)",sgd,constant,0.0001,0.7199210910417807,0.038303909811275585,101.7140007019043
103,9,5000,0.001,0.5,"(18,)",sgd,invscaling,0.0001,0.22925593609091144,0.09887967501460355,1.768998384475708
104,17,6000,0.001,0.5,"(6,)",sgd,adaptive,0.005,0.7911616753981285,0.011888383962473416,577.2539975643158
105,18,5000,5e-05,0.5,"(9,)",sgd,adaptive,0.0005,0.7679314254437408,0.011120858267133217,407.86400079727173
106,9,6000,0.0001,0.5,"(21,)",sgd,constant,0.0005,0.7781390908853962,0.01235843614209691,350.2999987602234
107,11,5000,0.0005,0.5,"(27,)",sgd,adaptive,0.005,0.7988212526389866,0.010715843146164226,78.32400155067444
108,13,6000,5e-05,0.5,"(18,)",adam,constant,0.0001,0.7873279771678787,0.016572614845139142,596.9339981079102
109,4,5000,0.0001,0.5,"(27,)",sgd,invscaling,0.0005,0.3326341647770219,0.1240252531023988,62.34099888801575
110,20,6000,0.0001,0.5,"(6,)",sgd,invscaling,0.01,0.5759288581332915,0.08272913904239451,236.40200543403625
111,17,200,0.0001,0.5,"(3,)",lbfgs,constant,0.001,0.773803333593974,0.005850694812168651,622.5639979839325
112,7,200,1e-05,0.5,"(9,)",sgd,constant,0.001,0.7653732374175723,0.015408893641939547,100.46099901199341
113,8,5000,5e-05,0.5,"(18,)",adam,constant,0.001,0.7921775223499361,0.016891548598239308,49.02299904823303
114,9,5000,0.001,0.5,"(6,)",sgd,adaptive,0.01,0.7919260041181223,0.012458569041246606,31.66200017929077
115,19,6000,0.0001,0.5,"(24,)",sgd,constant,0.01,0.7952426564495529,0.015230037370299775,102.12500214576721
116,4,5000,0.0001,0.5,"(9,)",sgd,adaptive,0.001,0.774564730106602,0.015894114225602825,265.1130006313324
117,12,5000,0.0005,0.5,"(6,)",sgd,constant,0.0005,0.773803333593974,0.008524923812889223,339.1990005970001
118,5,5000,0.0001,0.5,"(12,)",sgd,invscaling,0.01,0.6489574373810827,0.037221119745275894,240.73300051689148
119,3,5000,0.0005,0.5,"(12,)",sgd,constant,0.005,0.6650435269893398,0.01369827863770033,152.5460000038147
120,None,5000,1e-05,0.5,"(9,)",sgd,constant,0.0001,0.7566994422289989,0.012079670403068187,715.2769973278046
121,14,6000,1e-05,0.5,"(6,)",sgd,constant,0.0005,0.7671602549065604,0.015540309520376017,349.69700145721436
122,4,5000,0.001,0.5,"(27,)",sgd,invscaling,0.005,0.6201172231344645,0.06534735727611131,306.37000274658203
123,14,5000,0.0001,0.5,"(6,)",sgd,adaptive,0.0001,0.739342403628118,0.019975292968896306,699.3039970397949
124,10,6000,0.0005,0.5,"(27,)",adam,constant,0.0005,0.7993285245132536,0.014212900998297459,76.00299978256226
125,5,6000,0.001,0.5,"(3,)",sgd,adaptive,0.0005,0.7605302082518832,0.004789299779048812,413.76100039482117
126,14,5000,0.0005,0.5,"(15,)",sgd,adaptive,0.0001,0.7574644225506295,0.005999152140475142,765.3009958267212
127,15,6000,0.001,0.5,"(24,)",sgd,invscaling,0.0001,0.3145378841191649,0.07358467752687159,547.4139997959137
128,11,5000,0.0005,0.5,"(9,)",sgd,invscaling,0.005,0.5550365548518258,0.057109106911632034,317.44399976730347
129,4,6000,1e-05,0.5,"(21,)",sgd,adaptive,0.0005,0.7735433445408815,0.014927635162426862,294.86699867248535
130,9,6000,1e-05,0.5,"(24,)",adam,constant,0.0005,0.8008597883597883,0.014120224744760957,58.68699359893799
131,6,5000,5e-05,0.5,"(12,)",adam,constant,0.0001,0.7748168999400527,0.017591097234936463,419.8019998073578
132,4,6000,5e-05,0.5,"(24,)",sgd,constant,0.005,0.7840116506372664,0.014367646076112885,205.13300156593323
133,21,6000,0.0005,0.5,"(15,)",sgd,invscaling,0.0005,0.4355256470404254,0.10190567217890673,3.7669997215270996
134,9,5000,0.0001,0.5,"(27,)",sgd,constant,0.0001,0.7623120129277765,0.012184306263817796,665.0730001926422
135,11,6000,0.0001,0.5,"(15,)",sgd,constant,0.01,0.7939632366356505,0.021261843443696096,276.11200046539307
136,10,6000,1e-05,0.5,"(15,)",sgd,constant,0.0005,0.7735439961425183,0.011628452943505556,48.60799956321716
137,4,6000,1e-05,0.5,"(9,)",sgd,invscaling,0.0001,0.22317225740871063,0.13323217353271152,1.8539988994598389
138,2,6000,5e-05,0.5,"(9,)",sgd,invscaling,0.0001,0.26352887898454397,0.1251271367496219,1.6569998264312744
139,16,5000,5e-05,0.5,"(6,)",sgd,invscaling,0.0005,0.2386930825970235,0.11098351630979117,6.125000476837158
140,3,6000,0.001,0.5,"(18,)",adam,constant,0.005,0.6663216435999688,0.012140559809658941,70.54999995231628
141,2,6000,1e-05,0.5,"(3,)",adam,constant,0.0005,0.5739206218886022,0.02673982874514814,168.3910014629364
142,5,6000,0.0001,0.5,"(27,)",sgd,invscaling,0.005,0.6160593739411473,0.06495810121239057,292.5469994544983
143,11,5000,0.0001,0.5,"(9,)",sgd,adaptive,0.005,0.7891166236609586,0.015023693294827912,262.64400124549866
144,14,5000,5e-05,0.5,"(6,)",adam,constant,0.005,0.7873331899809731,0.014996994530339581,105.66300082206726
145,15,5000,5e-05,0.5,"(15,)",sgd,constant,0.01,0.7952436338520081,0.016210965070120622,323.2240014076233
146,11,200,0.0005,0.5,"(3,)",lbfgs,constant,0.001,0.7850389006177183,0.0117482182063509,892.4140002727509
147,6,6000,0.0005,0.5,"(21,)",sgd,invscaling,0.0005,0.21833867646675528,0.15854659003634902,54.74300003051758
148,12,6000,1e-05,0.5,"(3,)",sgd,invscaling,0.01,0.5108843537414967,0.08624033982048213,150.66899967193604
149,11,5000,0.001,0.5,"(9,)",sgd,constant,0.005,0.7880971929001486,0.013089989156785149,250.45000195503235
150,7,5000,5e-05,0.5,"(6,)",adam,constant,0.005,0.7868210310944301,0.010667278313672656,82.41500115394592
151,22,5000,1e-05,0.5,"(6,)",sgd,constant,0.005,0.7977969348659004,0.013366281933952005,287.8550000190735
152,18,6000,1e-05,0.5,"(9,)",sgd,invscaling,0.005,0.5207948888367608,0.054190741232861606,189.97000002861023
153,7,200,5e-05,0.5,"(12,)",sgd,constant,0.001,0.7717612140641698,0.005786027124578853,94.73900103569031
154,2,6000,5e-05,0.5,"(18,)",sgd,adaptive,0.001,0.5866750723277818,0.010631423339494621,214.0430028438568
155,9,5000,1e-05,0.5,"(3,)",sgd,invscaling,0.0001,0.31581534912815706,0.16448148268171542,6.421001195907593
156,2,6000,1e-05,0.5,"(9,)",adam,constant,0.0001,0.5665047436599161,0.007693510332746246,245.0080008506775
157,21,5000,0.0001,0.5,"(15,)",sgd,adaptive,0.0005,0.7738007271874268,0.009996391307966982,313.99899983406067
158,2,6000,0.0005,0.5,"(21,)",adam,constant,0.0001,0.5843778507571612,0.007568096938866923,254.62600016593933
159,15,5000,0.0001,0.5,"(12,)",sgd,adaptive,0.005,0.7937146506112024,0.009369193854389165,347.91900086402893
160,13,6000,0.001,0.5,"(21,)",sgd,adaptive,0.0001,0.7592478562306149,0.01429306504018412,552.6670017242432
161,13,5000,1e-05,0.5,"(3,)",sgd,adaptive,0.0005,0.7633363307008627,0.013051587877389102,383.404000043869
162,9,5000,0.0005,0.5,"(21,)",sgd,constant,0.0001,0.7617982250371413,0.016955668228480034,502.5409986972809
163,7,6000,0.0001,0.5,"(24,)",sgd,constant,0.01,0.7911593947923997,0.014736066516499523,215.41899991035461
164,19,6000,0.0001,0.5,"(6,)",sgd,invscaling,0.01,0.546583326817317,0.02515862045147453,99.1159999370575
165,13,5000,1e-05,0.5,"(9,)",sgd,adaptive,0.01,0.791410587223395,0.01950321023195739,188.11000061035156
166,2,200,0.001,0.5,"(15,)",lbfgs,constant,0.001,0.6249664425157035,0.010051535737537639,998.605001449585
167,22,6000,5e-05,0.5,"(12,)",sgd,constant,0.0005,0.7758441499205047,0.008063743882618962,183.8199999332428
168,7,5000,1e-05,0.5,"(27,)",sgd,constant,0.01,0.7863085464070686,0.016806017482050715,237.8190004825592
169,9,5000,0.0001,0.5,"(6,)",sgd,invscaling,0.01,0.5118594755910026,0.028153243253024162,74.89099955558777
170,1,5000,0.001,0.5,"(24,)",adam,constant,0.0005,0.5728959783146976,0.016191226165352228,142.34600162506104
171,4,200,5e-05,0.5,"(3,)",sgd,constant,0.001,0.7436833737326348,0.013914008839896137,48.81700015068054
172,13,6000,1e-05,0.5,"(21,)",sgd,adaptive,0.001,0.7827332082258192,0.01492990616657041,198.19299840927124
173,13,5000,5e-05,0.5,"(21,)",sgd,invscaling,0.01,0.6231878958479944,0.012592303653637211,136.98199915885925
174,11,5000,0.001,0.5,"(18,)",adam,constant,0.01,0.7939645398389241,0.01687576761687661,43.3529999256134
175,9,5000,1e-05,0.5,"(27,)",sgd,constant,0.001,0.78375654859645,0.012049733927008295,166.2349991798401
176,8,6000,1e-05,0.5,"(3,)",sgd,adaptive,0.0005,0.7697138817212709,0.013067498656098388,197.6800000667572
