PC,Criterion,Max Depth,Estimators,Mean CV Score,STD CV Score,Execution Time
None,entropy,10,105,0.795757096,0.016139449,14.3878212
None,entropy,14,108,0.790138009,0.019086042,16.43415236
None,entropy,15,103,0.791670902,0.016448548,17.57448912
None,entropy,9,101,0.795246892,0.01761253,17.52666664
None,entropy,14,103,0.79192633,0.016775693,21.77444148
None,entropy,15,99,0.791160046,0.0158744,22.63729596
None,entropy,15,91,0.79014029,0.016220007,19.45279312
None,entropy,10,103,0.794227135,0.020304383,19.06915998
None,entropy,12,106,0.794225506,0.014824079,18.68687749
None,entropy,11,90,0.795756444,0.01915598,14.30540967
None,entropy,13,100,0.790396043,0.013370355,16.03383493
None,entropy,11,97,0.794731475,0.020372716,14.57056522
None,entropy,14,91,0.793967798,0.016122507,15.55024743
None,entropy,14,103,0.789628783,0.016564978,17.76199079
None,entropy,12,91,0.794988206,0.014562101,16.15789318
None,entropy,14,93,0.790139638,0.019239895,17.0993216
None,entropy,12,92,0.794477676,0.018155436,17.30806041
None,entropy,11,101,0.794989509,0.022136796,18.60574913
None,entropy,10,98,0.795246566,0.019189191,17.41182995
None,entropy,14,104,0.796264042,0.018045546,19.43239951
None,entropy,12,101,0.789118904,0.01564881,16.15636301
None,entropy,13,103,0.792690984,0.017427479,16.39087176
None,entropy,15,94,0.788860544,0.019001688,15.37213778
None,entropy,15,105,0.793204772,0.011687658,17.244385
None,entropy,11,103,0.797032932,0.014889951,16.3015728
None,entropy,12,106,0.794734733,0.019050121,17.07941461
None,entropy,12,100,0.793966495,0.020745331,15.82031751
None,entropy,15,102,0.792944783,0.0192505,15.77385306
None,entropy,9,109,0.795243308,0.020664049,14.41642094
None,entropy,11,108,0.789117275,0.022009256,15.50354648
None,entropy,13,108,0.793969427,0.014391961,16.02233243
None,entropy,11,106,0.794224203,0.015712784,15.17807722
None,entropy,11,99,0.790393111,0.017575187,14.21288705
None,entropy,10,109,0.793714325,0.016811389,14.95000243
None,entropy,12,103,0.794733756,0.016788062,14.79808187
None,entropy,14,95,0.796266323,0.016349813,16.02505493
None,entropy,10,90,0.794220619,0.022586889,14.90726089
None,entropy,9,97,0.793969753,0.014963374,16.00615001
None,entropy,14,99,0.795755141,0.017202295,17.81611776
None,entropy,13,90,0.791160372,0.01927859,14.32706881
None,entropy,11,104,0.797541507,0.019488744,15.59946251
None,entropy,15,95,0.790648865,0.018237915,14.7586205
None,entropy,15,102,0.792946738,0.01793212,15.64580703
None,entropy,9,108,0.793969427,0.01652063,15.22641373
None,entropy,9,97,0.791923724,0.02191626,13.70004582
None,entropy,15,93,0.788610329,0.013713613,14.13206768
None,entropy,9,92,0.795756119,0.019761744,12.14033103
None,entropy,9,94,0.794479305,0.017914821,11.7260406
None,entropy,14,105,0.785541285,0.017753871,15.09248567
None,entropy,9,93,0.796010243,0.01745578,12.39552832
None,entropy,10,110,0.797034561,0.017016001,14.93430638
None,entropy,10,105,0.793458571,0.020398008,14.45235324
None,entropy,14,101,0.79371237,0.019182804,14.57422543
None,entropy,15,100,0.794223551,0.018286303,14.4568572
None,entropy,12,100,0.793967472,0.016721325,14.28249955
None,entropy,15,109,0.790650494,0.013732858,15.82055473
None,entropy,11,99,0.794219642,0.024490304,13.89633322
None,entropy,15,110,0.79499179,0.017219687,16.01374936
None,entropy,13,95,0.798818972,0.017950701,13.68943048
None,entropy,12,110,0.796267952,0.016762971,18.0279007
None,entropy,10,96,0.795245263,0.019905727,16.26535082
None,entropy,12,95,0.79677783,0.01905569,16.77166295
None,entropy,10,106,0.793970078,0.015219526,18.01399589
None,entropy,14,103,0.79243686,0.01772964,16.24395108
None,entropy,14,93,0.789373355,0.018422344,13.99725342
None,entropy,14,98,0.794735059,0.017216957,14.73496366
None,entropy,15,103,0.796265997,0.019262257,15.45111489
None,entropy,15,90,0.791666341,0.022078278,13.67525244
None,entropy,13,104,0.795501668,0.016765209,15.38601637
None,entropy,11,102,0.793203143,0.014315466,14.79825616
None,entropy,14,92,0.788608374,0.012347882,13.6741221
None,entropy,12,107,0.795500365,0.018985217,16.22508001
None,entropy,9,98,0.793968449,0.018849398,13.2122457
None,entropy,10,98,0.793969427,0.017042314,13.98294568
None,entropy,11,105,0.791163304,0.015471969,15.6665132
None,entropy,14,107,0.79192633,0.015163163,16.60082006
None,entropy,9,109,0.793202818,0.017987956,15.02035093
None,entropy,12,104,0.792435882,0.019390655,16.36172915
None,entropy,12,104,0.793201514,0.021161482,16.55736303
None,entropy,15,96,0.79575677,0.014241555,15.6233952
None,entropy,14,99,0.791671554,0.014640163,15.86740041
None,entropy,9,110,0.792438489,0.0170709,15.24776602
None,entropy,13,110,0.796009592,0.021490223,16.94199729
None,entropy,13,97,0.790646259,0.020324571,14.29573321
None,entropy,11,103,0.794988532,0.019253988,14.48078656
None,entropy,13,104,0.794479305,0.014748893,14.85298133
None,entropy,11,102,0.791926656,0.01603924,14.33120632
None,entropy,14,100,0.793713999,0.016343507,14.88262129
None,entropy,15,107,0.791669599,0.019904535,15.9751749
None,entropy,14,90,0.795758399,0.013677354,13.21623063
None,entropy,11,101,0.794734081,0.018482739,14.06151557
None,entropy,10,92,0.793713347,0.018707795,12.45483375
None,entropy,9,106,0.790647888,0.01634683,13.69455504
None,entropy,14,103,0.795501994,0.014331351,14.72299623
None,entropy,11,94,0.792692939,0.020193389,13.05414605
None,entropy,13,107,0.793457268,0.01854149,17.05916071
None,entropy,10,96,0.792438489,0.015257994,14.84615445
None,entropy,11,99,0.789882581,0.015087452,15.74390936
None,entropy,12,91,0.79473343,0.018474319,14.94400716
None,entropy,13,102,0.790650494,0.018590188,15.24093819
None,entropy,15,94,0.789372377,0.018094767,14.0177362
None,entropy,11,105,0.794732452,0.015871318,15.27202916
None,entropy,13,109,0.793967146,0.019120944,16.17276168
None,entropy,14,90,0.78911923,0.015198565,13.27676702
None,entropy,13,92,0.795753512,0.018479219,13.81584311
None,entropy,10,94,0.794478979,0.017459416,13.31974888
None,entropy,15,108,0.794989509,0.016903916,16.18201184
None,entropy,11,101,0.795244937,0.018378897,14.33617806
None,entropy,15,92,0.797542484,0.015093313,13.49881697
None,entropy,14,99,0.788864128,0.010998253,14.21176362
None,entropy,12,101,0.792692288,0.020103741,14.19986939
None,entropy,9,94,0.791414823,0.021155696,12.19372106
None,entropy,12,102,0.796775875,0.020043025,15.33509231
None,entropy,15,110,0.794478002,0.016495784,16.8744874
None,entropy,15,103,0.791923398,0.019282895,15.8495822
None,entropy,13,91,0.792183061,0.0121453,13.50288248
None,entropy,12,101,0.790906899,0.014818644,14.11356711
None,entropy,9,110,0.794735059,0.017155512,14.00642633
None,entropy,12,104,0.788861847,0.019919091,14.57946301
None,entropy,9,105,0.794991464,0.013634646,13.45608139
None,entropy,9,107,0.791161675,0.019859806,13.46464729
None,entropy,14,104,0.794989835,0.020668305,14.90790439
None,entropy,12,91,0.793713673,0.019204545,12.76497436
None,entropy,9,91,0.79243686,0.02053369,11.60917282
None,entropy,9,98,0.797031629,0.017443809,12.1299758
None,entropy,14,95,0.787329606,0.017414917,13.44292021
None,entropy,15,106,0.792440118,0.010065022,15.04965854
None,entropy,11,108,0.79830942,0.013173304,14.84012961
None,entropy,13,106,0.789885188,0.014699162,15.13751912
None,entropy,11,96,0.792183713,0.017080434,13.12977457
None,entropy,15,96,0.797541181,0.019758334,13.80922318
None,entropy,14,101,0.792437186,0.012513415,14.92564487
None,entropy,13,102,0.796520121,0.016171182,16.02794385
None,entropy,9,104,0.793201514,0.022035872,14.80416822
None,entropy,15,110,0.794227135,0.010688858,17.60705948
None,entropy,15,102,0.792179477,0.01717389,16.40296912
None,entropy,13,105,0.798819624,0.014730996,15.6639297
None,entropy,12,96,0.796775549,0.015611272,13.72296071
None,entropy,12,98,0.792948367,0.01673142,14.40333509
None,entropy,9,102,0.794479305,0.020701027,13.19269848
None,entropy,11,92,0.791671879,0.017621356,13.05395103
None,entropy,11,92,0.794990161,0.019239645,13.06342149
None,entropy,15,95,0.793967146,0.018743359,14.11791134
None,entropy,11,92,0.793200863,0.019457048,12.9583559
None,entropy,14,98,0.79473343,0.02016021,14.37848186
None,entropy,11,108,0.790139312,0.015826418,15.48804402
None,entropy,14,105,0.794479631,0.019311291,15.48876882
None,entropy,12,103,0.79090527,0.020752932,14.79861331
None,entropy,14,93,0.79371628,0.010969427,14.38404727
None,entropy,13,96,0.79039246,0.018057767,14.80081868
None,entropy,14,98,0.791158417,0.019698423,15.07219839
None,entropy,13,90,0.797032606,0.016414417,13.78133535
None,entropy,9,95,0.796013175,0.015687427,12.62377667
None,entropy,12,95,0.793710415,0.020909947,13.8232131
None,entropy,15,108,0.791672205,0.013709594,15.87248826
None,entropy,13,91,0.788349363,0.018407519,13.36001706
None,entropy,12,104,0.794736362,0.015734063,15.59009743
None,entropy,12,101,0.793202166,0.018265973,14.94447541
None,entropy,13,108,0.791671228,0.014530378,16.10066032
None,entropy,15,100,0.791927633,0.015098059,14.91690493
None,entropy,14,98,0.794989509,0.015454998,13.66649842
None,entropy,9,100,0.792691962,0.01507336,12.82604647
None,entropy,15,96,0.793460526,0.019644676,13.76906729
None,entropy,13,106,0.792178826,0.018137827,15.04607916
None,entropy,14,108,0.796518167,0.021114663,16.73645067
None,entropy,11,93,0.79345792,0.013222373,13.94806743
None,entropy,14,101,0.797030326,0.015774845,15.71754074
None,entropy,15,108,0.793969101,0.017940134,17.05788016
None,entropy,9,105,0.793713022,0.018345193,14.48755336
None,entropy,10,93,0.794478979,0.018890507,13.56109905
None,entropy,13,94,0.794222248,0.019939841,14.72319722
None,entropy,14,96,0.796009266,0.019052167,14.88276482
None,entropy,9,93,0.790651146,0.015482503,12.29558277
None,entropy,10,99,0.79294739,0.018214391,14.0481739
None,entropy,14,104,0.789119556,0.013633617,15.74704623
None,entropy,10,106,0.794226158,0.016319867,15.18621325
None,entropy,9,100,0.793712696,0.01868083,13.98474789
None,entropy,12,95,0.792946412,0.018633333,14.65507984
None,entropy,13,108,0.790649842,0.015544819,16.52078629
None,entropy,13,91,0.788860218,0.019950888,13.73652244
None,entropy,10,105,0.790647236,0.020520641,14.73460746
None,entropy,11,93,0.792693591,0.01767466,13.2227788
None,entropy,9,95,0.794736362,0.016362497,12.18943906
None,entropy,10,108,0.792182084,0.01948398,14.92245078
None,entropy,13,90,0.790902338,0.024184426,13.80535316
None,entropy,14,98,0.790139638,0.014490143,14.921597
None,entropy,9,106,0.793967798,0.020208433,14.48857951
None,entropy,10,106,0.794732127,0.019749267,15.18724537
None,entropy,11,99,0.793458897,0.01661222,14.21060634
None,entropy,11,109,0.793714651,0.016552753,15.78598809
None,entropy,9,94,0.793460526,0.01547385,12.66902637
None,entropy,12,108,0.79065082,0.015317874,15.42596912
None,entropy,12,104,0.793966169,0.016581687,14.71149278
None,entropy,14,107,0.796778482,0.015254,15.2331574
None,entropy,12,109,0.79371237,0.016780708,15.07797265
None,entropy,9,107,0.792182084,0.019368101,13.65439916
None,entropy,11,94,0.792691636,0.018436911,13.44573283
None,entropy,15,94,0.792436534,0.018113019,14.03923893
None,entropy,9,96,0.791413194,0.018859777,12.94874144
None,entropy,13,99,0.791158743,0.015767756,14.81787491
None,entropy,9,94,0.791671554,0.017659279,12.28051138
None,entropy,9,105,0.797540855,0.020710037,13.78280234
None,entropy,10,108,0.793204447,0.01816542,14.87304163
None,entropy,11,110,0.793459549,0.01683732,15.67804742
None,entropy,15,95,0.791927633,0.013700976,14.36329937
None,entropy,9,110,0.793203469,0.019105574,15.08239532
None,entropy,13,101,0.791414823,0.016718304,15.4549222
None,entropy,12,104,0.793714976,0.01561993,15.34947872
None,entropy,13,103,0.787841439,0.014783058,15.2332077
None,entropy,14,110,0.792691962,0.017285089,16.20447731
None,entropy,15,110,0.791159721,0.015587231,16.17440891
None,entropy,14,99,0.794990161,0.015488171,14.26887059
None,entropy,9,92,0.793716605,0.016683963,11.8812511
None,entropy,13,98,0.793202818,0.012159298,14.1126647
None,entropy,11,109,0.796266648,0.019590555,15.17773175
None,entropy,14,93,0.791415148,0.017494633,13.78703976
None,entropy,13,94,0.79268903,0.022095931,13.69286656
None,entropy,15,99,0.791159069,0.01920756,14.54344869
None,entropy,12,103,0.794986251,0.02117944,14.75302649
None,entropy,13,109,0.791161675,0.013427338,15.94300103
None,entropy,10,96,0.794224855,0.017839717,13.2062664
None,entropy,13,103,0.790137032,0.018772528,15.33270764
None,entropy,13,100,0.7921785,0.019292862,14.70760274
None,entropy,11,104,0.795244285,0.018735211,14.85298538
None,entropy,11,101,0.793713347,0.014107308,14.09426188
None,entropy,12,97,0.7990744,0.018400523,13.80266976
None,entropy,13,107,0.793457594,0.01580776,15.30787325
None,entropy,13,108,0.789117927,0.018915443,15.27946877
None,entropy,15,94,0.793458571,0.011971122,13.52916336
None,entropy,10,93,0.798051711,0.021031267,12.41272473
None,entropy,13,109,0.791670902,0.015172134,15.30490828
None,entropy,10,98,0.793458571,0.018296922,13.40077519
None,entropy,14,109,0.79269131,0.015508716,15.70440316
None,entropy,14,96,0.792437186,0.014444395,13.96417451
None,entropy,9,103,0.793458897,0.019943039,13.56122947
None,entropy,10,91,0.796009266,0.020578672,11.97998667
